,pH,OM,AP,NO3,NH4,MO,MAT,MAP,pH.std,OM.std,AP.std,NO3.std,NH4.std,MO.std,MAT.std,MAP.std,meanFunction
ASV_16,5.96,380.2150541,237.4,173.9001992,111.3115448,230.7201176,21.88750076,1697,0.952076677,1,1,0.999987959,1,1,0.992630454,1,0.993086886
ASV_17,6.12,232.6996859,237.05,173.9022932,111.3115448,134.0170858,22.04999924,1697,0.977635783,0.612021232,0.998525695,1,1,0.580864327,1,1,0.89613088
ASV_18,6.01,380.2150541,237.4,173.9022932,111.3115448,218.0867714,22.04999924,1665,0.960063898,1,1,1,1,0.945243846,1,0.981143194,0.985806367
ASV_19,5.98,285.8235658,237.4,173.8885802,111.3115448,88.33212792,22.04999924,1697,0.955271565,0.751741844,1,0.999921145,1,0.382854035,1,1,0.886223574
ASV_20,5.77,244.9534959,237.4,151.2818566,101.1101326,87.60665283,22.04999924,1697,0.92172524,0.644249861,1,0.869924449,0.908352613,0.37970964,1,1,0.840495225
ASV_21,5.89,242.7089247,224.8,173.9022932,111.3115448,230.7201176,22.04999924,1665,0.940894569,0.638346436,0.946925021,1,1,1,1,0.981143194,0.938413652
ASV_22,6.26,285.7707106,237.4,173.9001992,39.44871108,88.33212792,22.04999924,1697,1,0.75160283,1,0.999987959,0.354399098,0.382854035,1,1,0.81110549
ASV_23,6.22,232.7525411,237.4,111.9717892,111.3115448,88.33212792,22.04999924,1697,0.993610224,0.612160246,1,0.643877589,1,0.382854035,1,1,0.829062762
ASV_24,5.89,380.2150541,237.04,173.9022932,71.28085809,230.7201176,22.04999924,1697,0.940894569,1,0.998483572,1,0.640372553,1,1,1,0.947468837
ASV_25,6.26,380.2150541,237.4,173.9022932,111.3115448,218.0867714,22.04999924,1697,1,1,1,1,1,0.945243846,1,1,0.993155481
ASV_26,6.26,285.7707106,237.4,173.9022932,111.3115448,230.7201176,22.04999924,1697,1,0.75160283,1,1,1,1,1,1,0.968950354
ASV_27,5.93,242.7089247,237.4,111.9717892,101.1101326,230.7201176,22.04999924,1697,0.947284345,0.638346436,1,0.643877589,0.908352613,1,1,1,0.892232623
ASV_28,6.26,380.2150541,237.4,173.9022932,111.3115448,230.7201176,22.04999924,1697,1,1,1,1,1,1,1,1,1
ASV_29,6.1,380.2150541,237.04,173.9022932,101.1101326,218.0867714,22.04999924,1697,0.974440895,1,0.998483572,1,0.908352613,0.945243846,1,1,0.978315116
ASV_30,6.26,285.8235658,237.4,173.9022932,111.3115448,88.33212792,22.04999924,1697,1,0.751741844,1,1,1,0.382854035,1,1,0.891824485
ASV_31,6.26,285.8235658,237.4,157.9372412,111.3115448,230.7201176,22.04999924,1697,1,0.751741844,1,0.908195276,1,1,1,1,0.95749214
ASV_32,6.26,285.7707106,237.4,173.9022932,111.3115448,230.7201176,22.04999924,1697,1,0.75160283,1,1,1,1,1,1,0.968950354
ASV_33,6.22,285.8235658,237.4,173.9022932,111.3115448,134.0362096,22.04999924,1697,0.993610224,0.751741844,1,1,1,0.580947214,1,1,0.91578741
ASV_34,6.05,285.8235658,237.4,157.9372412,25.84021404,122.1921236,22.04999924,1697,0.966453674,0.751741844,1,0.908195276,0.232143163,0.529611916,1,1,0.798518234
ASV_35,5.61,285.4074907,237.4,173.9022932,111.2065712,122.1729998,22.04999924,1697,0.896166134,0.750647529,1,1,0.999056939,0.529529029,1,1,0.896924954
ASV_36,5.94,377.4048244,53.85,87.21707996,73.25876491,229.0969868,22.04999924,1596,0.948881789,0.992608842,0.22683235,0.501529211,0.658141661,0.992964936,1,0.940483206,0.782680249
