,pH,OM,AP,NO3,NH4,MO,MAT,MAP,pH.std,OM.std,AP.std,NO3.std,NH4.std,MO.std,MAT.std,MAP.std,meanFunction
ASV_16,6.55,509.1764733,59.69,63.24501523,424.2094284,263.6024242,24.40833282,1697,0.992424242,0.999583326,0.752964427,0.57684301,1,0.991496012,1,1,0.914163877
ASV_17,6.41,319.9839675,79.27333333,44.73442692,424.2094284,244.0366972,24.40833282,1697,0.971212121,0.628172461,1,0.408012258,1,0.917902834,1,1,0.865662459
ASV_18,6.56,458.175476,79,109.6399093,383.8287142,265.0591095,24.40833282,1697,0.993939394,0.899461366,0.996552014,1,0.904809484,0.996975088,1,1,0.973967168
ASV_19,6.6,319.9839675,45.94666667,109.6399093,213.9859747,243.2324841,24.40833282,1665,1,0.628172461,0.579598015,1,0.504434745,0.914877922,1,0.981143194,0.826028292
ASV_20,6.03,230.7436188,38.43333333,109.6399093,184.3016191,126.9549519,22.04999924,1665,0.913636364,0.452981404,0.484820452,1,0.434459036,0.477519617,0.903379981,0.981143194,0.705992506
ASV_21,6.46,509.3887223,39.09,109.6399093,303.3430765,265.8633226,22.04999924,1632,0.978787879,1,0.493104028,1,0.715078582,1,0.903379981,0.961697113,0.881505948
ASV_22,6.46,458.175476,34.39,109.6399093,424.072273,265.0591095,24.40833282,1665,0.978787879,0.899461366,0.433815491,1,0.99967668,0.996975088,1,0.981143194,0.911232462
ASV_23,5.93,294.0792473,38.44166667,109.6287056,64.34815323,168.5072804,22.04999924,1665,0.898484848,0.577317939,0.484925574,0.999897814,0.151689588,0.633811684,0.903379981,0.981143194,0.703831328
ASV_24,6.56,509.3887223,79.27333333,109.6399093,424.2094284,265.8633226,24.40833282,1697,0.993939394,1,1,1,1,1,1,1,0.999242424
ASV_25,6.6,458.175476,79.27333333,109.6399093,424.2094284,265.8633226,24.40833282,1697,1,0.899461366,1,1,1,1,1,1,0.987432671
ASV_26,6.6,509.3887223,51.02333333,109.6399093,424.2094284,265.0591095,24.40833282,1697,1,1,0.643638046,1,1,0.996975088,1,1,0.955076642
ASV_27,6.6,458.175476,38.43333333,109.6399093,424.2094284,265.0591095,24.40833282,1697,1,0.899461366,0.484820452,1,1,0.996975088,1,1,0.922657113
ASV_28,6.6,458.175476,79.03333333,109.6399093,424.2094284,265.8633226,24.40833282,1697,1,0.899461366,0.9969725,1,1,1,1,1,0.987054233
ASV_29,6.14,420.3503016,39.09,109.6399093,424.2094284,219.4098315,24.40833282,1697,0.93030303,0.825205355,0.493104028,1,1,0.825273036,1,1,0.884235681
ASV_30,6.42,458.175476,38.43333333,109.6399093,424.072273,265.0591095,24.40833282,1697,0.972727273,0.899461366,0.484820452,1,0.99967668,0.996975088,1,1,0.919207607
ASV_31,6.46,410.9834763,45.46666667,109.6399093,214.1231301,243.2324841,22.04999924,1697,0.978787879,0.806816991,0.573543016,1,0.504758065,0.914877922,0.903379981,1,0.835270482
ASV_32,6.6,458.175476,34.98,109.6399093,424.072273,265.0530069,24.40833282,1665,1,0.899461366,0.441258094,1,0.99967668,0.996952134,1,0.981143194,0.914811434
ASV_33,6.46,509.3887223,59.69,109.6399093,424.2094284,265.0591095,24.40833282,1697,0.978787879,1,0.752964427,1,1,0.996975088,1,1,0.966090924
